Date	Dow_Jones
20-01-2016	15717
21-01-2016	15787
22-01-2016	16004
25-01-2016	15811
26-01-2016	16066
27-01-2016	15851
28-01-2016	15972
29-01-2016	16356
01-02-2016	16340
02-02-2016	16091
03-02-2016	16263
04-02-2016	16328
05-02-2016	16131
08-02-2016	15988
09-02-2016	15959
10-02-2016	15866
11-02-2016	15612
12-02-2016	15913
14-02-2016	16008
15-02-2016	16113.5
16-02-2016	16131
17-02-2016	16413
18-02-2016	16391
19-02-2016	16358
22-02-2016	16539
23-02-2016	16396
24-02-2016	16473
25-02-2016	16672
26-02-2016	16601
29-02-2016	16497
01-03-2016	16849
02-03-2016	16868
03-03-2016	16919
04-03-2016	16967
07-03-2016	17048
08-03-2016	16972
09-03-2016	17008
10-03-2016	16994
11-03-2016	17184
14-03-2016	17222
15-03-2016	17242
16-03-2016	17332
17-03-2016	17486
18-03-2016	17557
21-03-2016	17528
22-03-2016	17504
23-03-2016	17426
24-03-2016	17439
28-03-2016	17448
29-03-2016	17538
30-03-2016	17622
31-03-2016	17595
01-04-2016	17706
04-04-2016	17642
05-04-2016	17527
06-04-2016	17628
07-04-2016	17458
08-04-2016	17485
11-04-2016	17473
12-04-2016	17637
13-04-2016	17828
14-04-2016	17842
15-04-2016	17814
18-04-2016	17928
19-04-2016	17961
20-04-2016	18037
21-04-2016	17899
22-04-2016	17917
25-04-2016	17902
26-04-2016	17919
27-04-2016	17963
28-04-2016	17761
29-04-2016	17693
02-05-2016	17799
03-05-2016	17673
04-05-2016	17581
05-05-2016	17574
06-05-2016	17671
09-05-2016	17646
10-05-2016	17853
11-05-2016	17659
12-05-2016	17668
13-05-2016	17495
16-05-2016	17664
17-05-2016	17489
18-05-2016	17479
19-05-2016	17415
20-05-2016	17482
23-05-2016	17470
24-05-2016	17687
25-05-2016	17817
26-05-2016	17817
27-05-2016	17849
29-05-2016	17886
30-05-2016	17891
31-05-2016	17774
01-06-2016	17779
02-06-2016	17825
03-06-2016	17800
06-06-2016	17915
07-06-2016	17933
08-06-2016	17995
09-06-2016	17973
10-06-2016	17866
13-06-2016	17728
14-06-2016	17662
15-06-2016	17646
16-06-2016	17740
17-06-2016	17737
20-06-2016	17712
21-06-2016	17737
22-06-2016	17688
23-06-2016	17915
24-06-2016	17247
27-06-2016	16985
28-06-2016	17301
29-06-2016	17624
30-06-2016	17819
01-07-2016	17866
03-07-2016	17843
04-07-2016	17860
05-07-2016	17762
06-07-2016	17834
07-07-2016	17818
08-07-2016	18038
11-07-2016	18147
12-07-2016	18264
13-07-2016	18288
14-07-2016	18427
15-07-2016	18417
18-07-2016	18451
19-07-2016	18480
20-07-2016	18531
21-07-2016	18436
22-07-2016	18478
25-07-2016	18420
26-07-2016	18398
27-07-2016	18390
28-07-2016	18376
29-07-2016	18362
01-08-2016	18326
02-08-2016	18248
03-08-2016	18269
04-08-2016	18273
05-08-2016	18454
08-08-2016	18460
09-08-2016	18466
10-08-2016	18452
11-08-2016	18565
12-08-2016	18523
15-08-2016	18582
16-08-2016	18524
17-08-2016	18541
18-08-2016	18565
19-08-2016	18540
22-08-2016	18519
23-08-2016	18528
24-08-2016	18472
25-08-2016	18448
26-08-2016	18380
29-08-2016	18489
30-08-2016	18444
31-08-2016	18395
01-09-2016	18395
02-09-2016	18480
04-09-2016	18504.5
05-09-2016	18479
06-09-2016	18523
07-09-2016	18514
08-09-2016	18459
09-09-2016	18041
12-09-2016	18321
13-09-2016	18087
14-09-2016	18000
15-09-2016	18200
16-09-2016	18167.6
19-09-2016	18052
20-09-2016	18047
21-09-2016	18218
22-09-2016	18299
23-09-2016	18190
26-09-2016	18014
27-09-2016	18139
28-09-2016	18238
29-09-2016	18097
30-09-2016	18219
03-10-2016	18156
04-10-2016	18092
05-10-2016	18200
06-10-2016	18199
07-10-2016	18157
10-10-2016	18259
11-10-2016	18070
12-10-2016	18053
13-10-2016	18021
14-10-2016	18059
17-10-2016	18013
18-10-2016	18064
19-10-2016	18125
20-10-2016	18108
21-10-2016	18066
24-10-2016	18134
25-10-2016	18097
26-10-2016	18128
27-10-2016	18082
28-10-2016	18098
31-10-2016	18062
01-11-2016	17939
02-11-2016	17881
03-11-2016	17852
04-11-2016	17805
07-11-2016	18192
08-11-2016	18285
09-11-2016	18532
10-11-2016	18786
11-11-2016	18787
14-11-2016	18822
15-11-2016	18880
16-11-2016	18833
17-11-2016	18869
18-11-2016	18853
21-11-2016	18910
22-11-2016	18995
23-11-2016	19054
24-11-2016	19102
25-11-2016	19144
28-11-2016	19080
29-11-2016	19115
30-11-2016	19132
01-12-2016	19197
02-12-2016	19158
05-12-2016	19210
06-12-2016	19232
07-12-2016	19517
08-12-2016	19621
09-12-2016	19769
12-12-2016	19781
13-12-2016	19912
14-12-2016	19824
15-12-2016	19863
16-12-2016	19918.4
19-12-2016	19837
20-12-2016	19899
21-12-2016	19891
22-12-2016	19873
23-12-2016	19874
26-12-2016	19870.5
27-12-2016	19876
28-12-2016	19775
29-12-2016	19759
30-12-2016	19720
02-01-2017	19780
03-01-2017	19798
04-01-2017	19856
05-01-2017	19821
06-01-2017	19897
09-01-2017	19828
10-01-2017	19788
11-01-2017	19877
12-01-2017	19803
13-01-2017	19832
15-01-2017	19804.5
16-01-2017	19784.5
17-01-2017	19743
18-01-2017	19735
19-01-2017	19694
20-01-2017	19745
23-01-2017	19735
24-01-2017	19844
25-01-2017	20003
26-01-2017	20051
27-01-2017	20012
30-01-2017	19888
31-01-2017	19792
01-02-2017	19816
02-02-2017	19821
03-02-2017	19986
06-02-2017	19972
07-02-2017	20018
08-02-2017	20002
09-02-2017	20136
10-02-2017	20223
13-02-2017	20383
14-02-2017	20482
15-02-2017	20623
16-02-2017	20594
17-02-2017	20588
19-02-2017	20580
20-02-2017	20633
21-02-2017	20688
22-02-2017	20749
23-02-2017	20797
24-02-2017	20787
