Date	Dow_Jones
01-04-2020	20740
02-04-2020	21273
03-04-2020	20957
06-04-2020	22488
07-04-2020	22491
08-04-2020	23246
09-04-2020	23618
10-04-2020	23676
13-04-2020	23309
14-04-2020	23880
15-04-2020	23391
16-04-2020	23407
17-04-2020	24159
20-04-2020	23488
21-04-2020	22929
22-04-2020	23356
23-04-2020	23337
24-04-2020	23658
27-04-2020	23999
28-04-2020	24045
29-04-2020	24566
30-04-2020	24230
01-05-2020	23619
04-05-2020	23571
05-05-2020	23761
06-05-2020	23513
07-05-2020	23843
08-05-2020	24286
11-05-2020	24124
12-05-2020	23574
13-05-2020	23166
14-05-2020	23534
15-05-2020	23517
18-05-2020	24507
19-05-2020	24158
20-05-2020	24519
21-05-2020	24376
22-05-2020	24424
24-05-2020	24543.5
25-05-2020	24642
26-05-2020	25002
27-05-2020	25534
28-05-2020	25457
29-05-2020	25378
01-06-2020	25463
02-06-2020	25701
03-06-2020	26228
04-06-2020	26253
05-06-2020	27072
08-06-2020	27527
09-06-2020	27264
10-06-2020	26961
11-06-2020	25165
12-06-2020	25536
15-06-2020	25805
16-06-2020	26320
17-06-2020	26150
18-06-2020	26024
19-06-2020	26484.2
22-06-2020	25953
23-06-2020	26020
24-06-2020	25393
25-06-2020	25596
26-06-2020	24950
29-06-2020	25497
30-06-2020	25689
01-07-2020	25575
02-07-2020	25759
03-07-2020	25627.5
06-07-2020	26179
07-07-2020	25770
08-07-2020	25969
09-07-2020	25571
10-07-2020	25977
13-07-2020	25968
14-07-2020	26491
15-07-2020	26765
16-07-2020	26553
17-07-2020	26520
19-07-2020	26594
20-07-2020	26613
21-07-2020	26854
