Date	Dow_Jones	P/E	P/B	Div Yield	Symbol	Expiry	Close	Open Interest	Change in OI	SMA	EMA	upper_band	middle_band	lower_band	PercentageChange	Vix
03-03-2015	18186	24.06	3.82	1.22	NIFTY	26-03-2015	9054.85	27814575	1230375		8954.045208	9051.205925	8803.465	8555.724075	0.601619874	15.4925
04-03-2015	18086	23.86	3.79	1.23	NIFTY	26-03-2015	8956.35	26893850	-920725		8954.813472	9068.549529	8812.465	8556.380471	-1.087814817	15.1975
05-03-2015	18120	23.9	3.8	1.23	NIFTY	26-03-2015	8988.75	26084250	-809600		8966.125648	9089.822923	8824.3375	8558.852077	0.361754509	14.4375
06-03-2015	17861															
09-03-2015	17970	23.48	3.73	1.25	NIFTY	26-03-2015	8784.85	25018125	-1066125		8905.700432	9089.160625	8827.985	8566.809375	-2.268391044	15.8125
10-03-2015	17666	23.36	3.71	1.26	NIFTY	26-03-2015	8760.3	24811425	-206700		8857.233621	9071.70384	8837.855	8604.00616	-0.279458386	15.5325
11-03-2015	17638	23.32	3.7	1.26	NIFTY	26-03-2015	8752.15	24909700	98275		8822.205748	9058.66778	8844.8925	8631.11722	-0.093033344	15.13
12-03-2015	17866	23.53	3.74	1.25	NIFTY	26-03-2015	8813.05	24997800	88100		8819.153832	9051.11282	8852	8652.88718	0.695829025	14.75
13-03-2015	17729	23.18	3.68	1.27	NIFTY	26-03-2015	8674.4	24679775	-318025	8698.051	8770.902554	9057.637398	8848.11	8638.582602	-1.573235146	14.965
16-03-2015	17933	23.14	3.68	1.27	NIFTY	26-03-2015	8665.6	24986050	306275	8704.487	8735.801703	9063.467625	8839.3125	8615.157375	-0.101447939	15.1775
