Date	Close	Open Interest	Change in OI	SMA	EMA	upper_band	middle_band	lower_band	Percentage Change
2010-02-09	4793.35	29230200	-2035350		4788.895176441371	5367.468990428266	4982.950000000001	4598.431009571736	0.5935306205472316
2010-02-10	4751.15	29873700	643500		4776.313450960914	5336.056768300859	4958.3575	4580.658231699141	-0.8882060132810106
2010-02-11	4828.85	28537150	-1336550		4793.825633973943	5291.398522370131	4936.735000000001	4582.07147762987	1.6090787661658723
2010-02-15	4795.7	28928050	390900		4794.450422649295	5241.638559355001	4913.800000000001	4585.961440645001	-0.6912442396313478
2010-02-16	4865.2	28665850	-262200		4818.03361509953	5177.690385869512	4893.5025000000005	4609.314614130489	1.428512702458275
2010-02-17	4906.75	27289650	-1376200		4847.605743399687	5119.467092393399	4877.805000000001	4636.142907606603	0.8467926835481772
2010-02-18	4886.8	26499000	-790650		4860.670495599791	5047.511906919787	4861.407500000001	4675.303093080215	-0.4082426127527179
2010-02-19	4845.95	24762400	-1736600		4855.763663733194	5004.895717963618	4849.477500000001	4694.059282036384	-0.8429719662811289
2010-02-22	4856.6	22727400	-2035000		4856.042442488796	4975.888663371441	4841.325000000002	4706.761336628562	0.2192892146769457
2010-02-23	4870.55	20702050	-2025350		4860.878294992531	4948.498723069495	4834.750000000002	4721.0012769305085	0.28641529190748105
2010-02-24	4862.0	14860050	-5842000		4861.252196661687	4949.67670798928	4835.442500000002	4721.208292010724	-0.1758535582065031
2010-02-25	4860.1	10249050	-4611000		4860.868131107792	4948.968318731364	4835.087500000002	4721.206681268641	-0.039093845805634374
2010-02-26	4930.35	22638250	1072700		4884.028754071861	4957.92597819651	4837.822500000003	4717.719021803496	1.424848134513777
2010-03-02	5022.8	22929500	291250		4930.285836047908	4986.665991672988	4843.990000000003	4701.314008327019	1.8406068328422358
2010-03-03	5081.1	25068950	2139450		4980.557224031939	5032.539735077726	4856.957500000003	4681.375264922281	1.147389344826911
2010-03-04	5081.25	24855900	-213050		5014.1214826879595	5063.981201752631	4864.730000000003	4665.478798247375	0.0029520295202880432
2010-03-05	5087.55	25337150	481250		5038.597655125306	5098.316771977793	4877.427500000003	4656.538228022214	0.12383170681369582
2010-03-08	5117.5	25891600	554450		5064.898436750204	5127.933410250959	4897.890000000003	4667.846589749047	0.5852467024914474
2010-03-09	5097.05	26038100	146500		5075.615624500137	5150.288047509867	4915.275000000003	4680.261952490139	-0.40121246603427113
2010-03-10	5118.25	26201750	163650		5089.827083000091	5173.150352234038	4932.942500000003	4692.734647765968	0.414204073657985
