Date	Nifty Actual	Nifty predicted
08-07-2019	11566.2998046875	11832.16796875
09-07-2019	11552.599609375	11602.5712890625
10-07-2019	11492.25	11586.833984375
11-07-2019	11582.05078125	11544.8798828125
12-07-2019	11544.349609375	11626.12109375
15-07-2019	11579.2001953125	11638.232421875
16-07-2019	11657.849609375	11645.564453125
17-07-2019	11675.7998046875	11721.7021484375
18-07-2019	11604.349609375	11722.7861328125
19-07-2019	11421.8505859375	11648.1611328125
22-07-2019	11360.25	11489.5537109375
23-07-2019	11333.7998046875	11431.4150390625
24-07-2019	11277.7998046875	11412.2734375
25-07-2019	11247.150390625	11345.9326171875
26-07-2019	11327.0009765625	11326.6806640625
29-07-2019	11215.0498046875	11475.36328125
30-07-2019	11095.201171875	11330.79296875
31-07-2019	11132.19921875	11239.810546875
01-08-2019	11015.349609375	11235.2802734375
02-08-2019	11024.05078125	11120.5537109375
05-08-2019	10896.798828125	11119.009765625
06-08-2019	10978.650390625	10973.3203125
07-08-2019	10874.2490234375	11073.8828125
08-08-2019	11063.9501953125	10996.1591796875
09-08-2019	11122.94921875	11166.25
23-08-2019	10842.7001953125	10857.5693359375
26-08-2019	11054.2001953125	10900.248046875
27-08-2019	11103.900390625	11140.30859375
28-08-2019	11049.25	11145.279296875
29-08-2019	10944.69921875	11136.7578125
30-08-2019	11058.900390625	11057.9091796875
18-09-2019	10855.4501953125	10964.1162109375
19-09-2019	10711.2998046875	10992.197265625
20-09-2019	11295.5	10870.3720703125
23-09-2019	11607.2998046875	11357.30078125
24-09-2019	11613.8486328125	11674.078125
25-09-2019	11469.099609375	11629.2841796875
26-09-2019	11569.9501953125	11303.98828125
27-09-2019	11579.4990234375	11439.28515625
30-09-2019	11534.599609375	11465.7392578125
01-10-2019	11429.849609375	11378.8681640625
16-10-2019	11475.5498046875	11392.291015625
17-10-2019	11600.650390625	11424.8798828125
18-10-2019	11670.0	11529.0283203125
05-11-2019	11956.0	11825.4541015625
06-11-2019	12008.0498046875	11831.7216796875
07-11-2019	12047.9501953125	11850.2373046875
08-11-2019	11945.349609375	11912.2470703125
11-11-2019	11943.7001953125	11821.7197265625
20-11-2019	12018.1513671875	11852.052734375
21-11-2019	11974.5498046875	11880.3955078125
22-11-2019	11914.5009765625	11922.591796875
25-11-2019	12096.2998046875	11847.6240234375
26-11-2019	12075.2001953125	12007.76953125
27-11-2019	12108.5498046875	11991.580078125
28-11-2019	12145.94921875	12006.8857421875
29-11-2019	12099.849609375	12040.474609375
02-12-2019	12091.4501953125	12049.1298828125
03-12-2019	12046.4501953125	11951.6484375
04-12-2019	12089.7998046875	11917.0712890625
05-12-2019	12047.7001953125	11948.9384765625
06-12-2019	11955.7001953125	11934.216796875
09-12-2019	11966.7001953125	11870.7236328125
10-12-2019	11898.201171875	11870.830078125
11-12-2019	11938.150390625	11820.79296875
12-12-2019	12028.650390625	11848.9345703125
13-12-2019	12142.3486328125	11944.5380859375
16-12-2019	12082.548828125	12039.529296875
17-12-2019	12187.1513671875	12009.6396484375
18-12-2019	12243.150390625	12082.5185546875
19-12-2019	12268.9501953125	12137.9580078125
20-12-2019	12290.0	12154.3671875
23-12-2019	12276.451171875	12181.92578125
24-12-2019	12238.4501953125	12161.1728515625
02-01-2020	12339.2998046875	12110.6513671875
03-01-2020	12256.4501953125	12211.9111328125
06-01-2020	12043.69921875	12132.06640625
07-01-2020	12106.7001953125	11953.8798828125
08-01-2020	12063.5	11988.521484375
09-01-2020	12269.75	11990.15234375
10-01-2020	12290.0	12140.126953125
13-01-2020	12362.1494140625	12195.7802734375
14-01-2020	12397.0	12248.4921875
15-01-2020	12378.0498046875	12283.541015625
16-01-2020	12374.349609375	12266.3662109375
17-01-2020	12384.650390625	12269.2744140625
27-01-2020	12125.7001953125	12146.9013671875
28-01-2020	12068.0009765625	12001.462890625
29-01-2020	12121.55078125	11870.4658203125
30-01-2020	12043.5	11950.2734375
31-01-2020	11994.298828125	11860.7998046875
03-02-2020	11703.150390625	11814.8154296875
04-02-2020	11964.25	11518.1748046875
05-02-2020	12086.2998046875	11893.0556640625
06-02-2020	12136.3505859375	11985.1357421875
07-02-2020	12095.900390625	12029.4951171875
10-02-2020	12040.0498046875	12000.5771484375
11-02-2020	12126.8486328125	11950.091796875
12-02-2020	12228.4501953125	12006.7666015625
13-02-2020	12174.599609375	12128.0556640625
14-02-2020	12129.6494140625	12067.2626953125
02-03-2020	11123.7001953125	11132.181640625
03-03-2020	11294.75	11050.205078125
04-03-2020	11247.099609375	11199.9541015625
05-03-2020	11255.349609375	11239.74609375
06-03-2020	10939.900390625	11182.267578125
09-03-2020	10462.349609375	10981.4990234375
18-03-2020	8433.7001953125	9135.328125
19-03-2020	8205.900390625	8764.2001953125
20-03-2020	8723.099609375	8601.845703125
23-03-2020	7581.5498046875	9157.96875
24-03-2020	7849.89990234375	8060.96240234375
25-03-2020	8362.2001953125	8528.177734375
26-03-2020	8630.2998046875	8708.2509765625
27-03-2020	8651.400390625	9139.6923828125
30-03-2020	8290.150390625	9108.0849609375
31-03-2020	8620.9501953125	8649.716796875
01-04-2020	8257.2998046875	8608.7900390625
22-04-2020	9188.2998046875	9207.7294921875
23-04-2020	9296.75	9337.2783203125
24-04-2020	9138.25	9434.7880859375
27-04-2020	9295.150390625	9423.7880859375
28-04-2020	9397.75	9561.0458984375
29-04-2020	9549.150390625	9580.3056640625
30-04-2020	9842.400390625	9821.1181640625
11-05-2020	9225.150390625	9699.8388671875
12-05-2020	9212.349609375	9613.5068359375
13-05-2020	9393.5498046875	9517.4462890625
14-05-2020	9143.900390625	9675.87109375
15-05-2020	9137.099609375	9500.5263671875
18-05-2020	8825.849609375	9452.84375
19-05-2020	8884.099609375	9317.5908203125
20-05-2020	9066.650390625	9194.69921875
21-05-2020	9075.099609375	9598.693359375
22-05-2020	9027.7998046875	9453.572265625
02-06-2020	9962.9501953125	10107.0185546875
03-06-2020	10071.7998046875	10245.537109375
04-06-2020	10017.650390625	10346.4482421875
05-06-2020	10145.5	10267.146484375
08-06-2020	10165.349609375	10439.53125
09-06-2020	10034.0	10446.271484375
10-06-2020	10118.7001953125	10373.873046875
11-06-2020	9894.5498046875	10408.455078125
12-06-2020	9955.349609375	10089.3427734375
15-06-2020	9813.75	10248.619140625
16-06-2020	9897.849609375	10106.8798828125
17-06-2020	9854.5498046875	10261.6650390625
18-06-2020	10071.900390625	10245.173828125
19-06-2020	10235.5498046875	10422.6318359375
22-06-2020	10288.2001953125	10625.3515625
23-06-2020	10467.7001953125	10577.7783203125
24-06-2020	10295.650390625	10758.478515625
25-06-2020	10296.5	10522.3125
26-06-2020	10318.0	10540.0478515625
29-06-2020	10255.7998046875	10618.533203125
30-06-2020	10240.25	10546.2666015625
01-07-2020	10408.2998046875	10541.4765625
02-07-2020	10539.7001953125	10694.62890625
03-07-2020	10572.4501953125	10818.00390625
06-07-2020	10754.849609375	10824.890625
07-07-2020	10766.650390625	11020.2099609375
08-07-2020	10696.2998046875	10961.267578125
09-07-2020	10823.5498046875	10906.5361328125
10-07-2020	10766.650390625	10963.4736328125
13-07-2020	10807.5498046875	10985.826171875
14-07-2020	10613.849609375	10975.685546875
15-07-2020	10628.25	10882.896484375
16-07-2020	10713.849609375	10872.5654296875
17-07-2020	10905.0498046875	10949.2333984375
